contest-tmp2m-14d__tmp2m,index
27.07387587,375734
25.10930763,375735
22.55739026,375736
25.57287538,375737
20.78107326,375738
29.63918439,375739
27.69650064,375740
28.00245571,375741
29.41610095,375742
23.1871864,375743
22.68696565,375744
28.8417386,375745
23.55330977,375746
23.74530444,375747
22.00726191,375748
29.30914665,375749
23.20622446,375750
25.36950498,375751
25.81443188,375752
27.27919108,375753
25.46697377,375754
29.92590229,375755
25.96784685,375756
27.37605687,375757
22.80342551,375758
29.20885031,375759
26.17087482,375760
21.2805749,375761
24.79638336,375762
21.31931501,375763
22.60482976,375764
26.48119727,375765
27.56965475,375766
24.68648591,375767
29.27565577,375768
22.70778291,375769
29.27531722,375770
22.24509942,375771
20.74399635,375772
28.08027907,375773
21.37921233,375774
26.58618865,375775
20.74846734,375776
26.92233085,375777
20.33344296,375778
24.36007311,375779
20.87119958,375780
21.32852493,375781
20.28784926,375782
27.28598296,375783
26.23478348,375784
26.03922126,375785
26.12270924,375786
22.79345168,375787
20.5033094,375788
24.66249952,375789
29.9763907,375790
28.12787921,375791
29.19593118,375792
20.61160982,375793
20.18940774,375794
28.56275289,375795
27.65372839,375796
20.57809667,375797
20.61088999,375798
24.15657889,375799
29.00238116,375800
26.647141,375801
21.88430263,375802
20.34359755,375803
28.42915318,375804
27.0061622,375805
29.93980614,375806
27.02373233,375807
29.47864344,375808
21.68605585,375809
28.66643165,375810
22.96179737,375811
26.90749347,375812
25.11443845,375813
26.42323199,375814
24.99759156,375815
25.11675869,375816
29.13653253,375817
28.05442348,375818
25.16330631,375819
28.87908765,375820
29.34110134,375821
23.74027793,375822
28.39923471,375823
22.13963554,375824
23.12199127,375825
26.9063866,375826
23.05444204,375827
29.19502921,375828
28.72273131,375829
21.53387098,375830
28.95139463,375831
21.66312146,375832
26.27626417,375833
26.49721543,375834
24.68503828,375835
29.58643091,375836
24.23778337,375837
20.77232899,375838
20.65856511,375839
20.88773673,375840
28.2758415,375841
20.52063262,375842
23.4143036,375843
21.24424818,375844
27.53872706,375845
22.28676125,375846
25.03802841,375847
22.302629,375848
29.0056527,375849
22.62324323,375850
24.93340091,375851
25.94473625,375852
26.6332534,375853
24.50950549,375854
29.27178423,375855
27.15523282,375856
29.30552266,375857
20.919072,375858
22.16101637,375859
28.62672472,375860
21.34917858,375861
24.32232036,375862
25.60800374,375863
23.16602541,375864
22.46298452,375865
20.3279602,375866
26.79734718,375867
24.25361073,375868
20.4503322,375869
27.24703092,375870
29.41769427,375871
24.59721693,375872
24.97265751,375873
23.35599682,375874
28.32325732,375875
29.55504158,375876
24.92894454,375877
25.8748038,375878
28.67423831,375879
20.81184665,375880
21.26128988,375881
20.01482376,375882
20.52782992,375883
25.26661929,375884
22.68368073,375885
23.43124267,375886
24.25243459,375887
20.61713564,375888
21.30961554,375889
27.61991825,375890
25.72409414,375891
22.83954178,375892
29.33574661,375893
27.08035658,375894
20.52084179,375895
25.51969447,375896
23.6925497,375897
25.26533582,375898
29.98314353,375899
29.838757,375900
24.15554041,375901
22.99267793,375902
24.91265988,375903
26.70432434,375904
29.6250251,375905
22.43449776,375906
26.44933237,375907
23.64321128,375908
25.93384222,375909
24.2827718,375910
24.39048962,375911
29.40175442,375912
24.2888323,375913
20.47012674,375914
27.35281522,375915
21.68867139,375916
21.30382272,375917
23.69990129,375918
23.70120371,375919
28.25339841,375920
27.80189172,375921
25.2155794,375922
27.1699172,375923
21.10454134,375924
25.5640389,375925
23.48320605,375926
24.58202058,375927
27.13834776,375928
26.39919558,375929
27.92360303,375930
22.12662728,375931
29.5731779,375932
29.53383054,375933
27.84874144,375934
25.80208232,375935
23.47257565,375936
29.47934521,375937
23.56199936,375938
21.5819891,375939
22.6173924,375940
25.19283475,375941
25.38744613,375942
20.40248653,375943
26.02642426,375944
26.40611833,375945
29.7567685,375946
29.01265854,375947
26.07399348,375948
27.03491184,375949
21.12731535,375950
23.57537754,375951
27.12878027,375952
26.53702222,375953
23.32356608,375954
26.50153631,375955
21.54050588,375956
29.1468486,375957
28.08244166,375958
23.22344342,375959
26.835585,375960
20.35096287,375961
20.10242596,375962
23.55098103,375963
27.54102898,375964
23.42285897,375965
20.67679095,375966
27.66881969,375967
21.21853554,375968
25.53829524,375969
25.31558121,375970
24.16157243,375971
27.0576948,375972
24.23853268,375973
23.11781046,375974
20.76466545,375975
25.05292574,375976
22.59414827,375977
22.25862934,375978
25.87331461,375979
28.94491169,375980
26.51919233,375981
23.37182794,375982
22.18765811,375983
29.01131165,375984
22.99141442,375985
23.31747628,375986
24.91912093,375987
20.33631132,375988
21.55423773,375989
28.2847724,375990
22.53365648,375991
26.7029543,375992
25.15234353,375993
24.74853984,375994
27.66732836,375995
26.51754941,375996
20.45161159,375997
25.27427678,375998
20.51553352,375999
21.05109822,376000
23.53434657,376001
28.09823424,376002
25.65032754,376003
24.22433254,376004
28.85795948,376005
28.76938778,376006
26.55737383,376007
20.8999226,376008
23.34197747,376009
23.96879633,376010
20.92765858,376011
29.81118198,376012
26.35117116,376013
21.54566607,376014
29.40371623,376015
24.38950329,376016
28.23340066,376017
24.10600936,376018
27.60924828,376019
23.78007156,376020
27.78150515,376021
25.90374348,376022
26.61100093,376023
26.97210265,376024
21.71331018,376025
21.22792328,376026
22.17765233,376027
20.49643637,376028
23.78609788,376029
25.03057317,376030
28.18706903,376031
26.52689117,376032
28.57008755,376033
23.91910958,376034
26.48667994,376035
20.43035023,376036
20.86877027,376037
29.63194279,376038
24.49683801,376039
21.67770965,376040
22.36477955,376041
21.97060056,376042
27.3490729,376043
27.14986949,376044
24.3635912,376045
29.7994289,376046
25.98544398,376047
24.31113134,376048
23.25163071,376049
22.64787407,376050
23.13164893,376051
25.00097301,376052
24.66153886,376053
20.64544687,376054
20.10234047,376055
26.69129275,376056
20.87825185,376057
26.21941978,376058
25.9032287,376059
27.81641591,376060
29.9197721,376061
23.9275271,376062
20.97860195,376063
22.26209183,376064
22.46707451,376065
28.5781232,376066
25.92779775,376067
28.72547526,376068
29.66391173,376069
23.9863111,376070
29.35105429,376071
24.2435135,376072
27.69113907,376073
21.18558621,376074
26.45071788,376075
28.60847098,376076
21.55268799,376077
24.23984992,376078
28.29985199,376079
28.30957161,376080
22.79022526,376081
21.36984237,376082
27.94678389,376083
29.81977097,376084
20.26378972,376085
23.94434755,376086
26.2447433,376087
24.98186963,376088
24.20215235,376089
25.66162818,376090
21.19858278,376091
28.48761985,376092
29.32727265,376093
29.80258786,376094
27.47575142,376095
26.32560329,376096
29.7289298,376097
23.07341662,376098
20.81211058,376099
29.67821104,376100
27.69118884,376101
24.49778691,376102
27.14793582,376103
21.49373323,376104
28.54155465,376105
23.88294624,376106
21.44763262,376107
24.61244362,376108
21.10346508,376109
20.62313,376110
22.5741165,376111
22.00669102,376112
22.60711676,376113
25.01660209,376114
23.53874768,376115
25.12728464,376116
28.71473898,376117
23.19905541,376118
29.54712761,376119
28.9149131,376120
20.09223353,376121
26.42443238,376122
20.62921931,376123
26.00710696,376124
27.22563659,376125
21.82231775,376126
26.63991822,376127
26.80465232,376128
26.79573522,376129
29.69639146,376130
20.1349605,376131
24.56962686,376132
21.41858762,376133
24.18422657,376134
27.95065711,376135
23.9519423,376136
21.63758612,376137
20.13983791,376138
27.49154452,376139
25.30403953,376140
21.65194801,376141
24.50098074,376142
21.4840889,376143
21.33264489,376144
25.20308126,376145
26.14242946,376146
24.02105984,376147
29.12189838,376148
20.01204702,376149
25.37015334,376150
28.81766869,376151
22.99118795,376152
20.06845089,376153
22.33816789,376154
23.38716339,376155
25.93836952,376156
22.87092798,376157
27.66117518,376158
21.47407162,376159
21.25817228,376160
28.1370604,376161
24.32683577,376162
21.92352987,376163
22.78785633,376164
21.88556377,376165
21.63267487,376166
29.9438101,376167
26.19647344,376168
20.46233302,376169
26.59050574,376170
23.98246825,376171
21.74195839,376172
28.35755371,376173
20.53399516,376174
24.19175349,376175
20.48819498,376176
26.67789431,376177
27.67632419,376178
22.2288178,376179
26.21808353,376180
22.57669693,376181
29.41407377,376182
29.83418771,376183
24.18522243,376184
25.8644032,376185
29.40630806,376186
22.1288099,376187
28.71958132,376188
23.39483007,376189
29.75248911,376190
27.03982471,376191
26.61787449,376192
23.5719314,376193
25.31371809,376194
23.29573423,376195
26.77522827,376196
27.27717097,376197
25.01570406,376198
23.05826365,376199
25.75374054,376200
27.8468442,376201
20.1195122,376202
21.83287948,376203
26.81045601,376204
25.62707985,376205
26.20592188,376206
23.19456302,376207
29.7933909,376208
26.26000193,376209
27.47810397,376210
26.75867114,376211
25.63979068,376212
23.99343538,376213
22.15628903,376214
20.27167617,376215
20.74009033,376216
29.18358907,376217
23.6304269,376218
27.18590229,376219
28.8690449,376220
28.41380208,376221
20.46721199,376222
28.82440754,376223
27.45775091,376224
26.80108503,376225
25.13363186,376226
29.29015473,376227
26.37429222,376228
29.16856111,376229
25.9329637,376230
29.36799276,376231
29.61455511,376232
23.4507157,376233
29.91272449,376234
29.90227674,376235
25.20484756,376236
25.77729706,376237
27.56662899,376238
23.76488869,376239
29.68607176,376240
27.06075853,376241
25.45112401,376242
24.5683773,376243
29.59971502,376244
27.22468526,376245
26.22151141,376246
24.27214618,376247
20.98746888,376248
20.18898318,376249
22.46143116,376250
23.16408823,376251
24.23633917,376252
26.52470089,376253
23.0277881,376254
20.08933835,376255
24.86352074,376256
20.2113482,376257
22.83080372,376258
24.86170309,376259
22.8534155,376260
26.65921508,376261
28.35152854,376262
20.33828408,376263
20.11994166,376264
23.24893068,376265
26.72984079,376266
25.23664638,376267
20.98477678,376268
27.21551062,376269
27.89414595,376270
26.57677135,376271
22.23324902,376272
22.79955321,376273
26.95615318,376274
23.59990077,376275
29.04222612,376276
20.65512303,376277
20.64685237,376278
24.2418477,376279
26.42386771,376280
26.39467312,376281
23.20731463,376282
28.75765426,376283
22.2973589,376284
29.0836099,376285
24.11333519,376286
21.47141696,376287
22.19271845,376288
22.52046158,376289
28.97094857,376290
21.78650739,376291
28.53129123,376292
20.18427819,376293
21.29387272,376294
28.66980692,376295
23.94809046,376296
24.74862971,376297
25.62869868,376298
24.19430137,376299
20.46960461,376300
22.78733673,376301
29.58328319,376302
29.30891191,376303
25.27962559,376304
28.18089365,376305
21.19882092,376306
23.69620355,376307
29.7749828,376308
29.72266573,376309
22.5391777,376310
22.31662094,376311
28.36101926,376312
20.08522662,376313
24.02512675,376314
28.10731149,376315
27.20416225,376316
28.88250173,376317
24.29267787,376318
23.08817472,376319
27.42553249,376320
25.4327867,376321
25.03067252,376322
26.3808141,376323
20.34315599,376324
21.11689596,376325
25.69787699,376326
24.69839002,376327
23.81430294,376328
26.80477886,376329
27.33638478,376330
24.58410726,376331
25.05673592,376332
28.3570496,376333
29.68976357,376334
29.87830633,376335
25.56737467,376336
21.31135333,376337
23.1567751,376338
24.40382961,376339
28.50126067,376340
25.78511255,376341
23.42241477,376342
25.1745143,376343
26.70178421,376344
24.39883754,376345
20.61892849,376346
21.29411763,376347
27.74762738,376348
26.20277292,376349
23.38540116,376350
21.72068941,376351
20.43405788,376352
22.28209243,376353
21.99671424,376354
23.38642963,376355
20.56155348,376356
21.37172205,376357
28.1814225,376358
22.21256613,376359
24.94266984,376360
28.6652601,376361
28.06452527,376362
20.2304162,376363
27.02450364,376364
24.7354477,376365
25.10047033,376366
22.27328571,376367
25.38560747,376368
28.16839625,376369
26.6124524,376370
20.71017886,376371
29.65999119,376372
25.283743,376373
23.79707852,376374
29.92249795,376375
24.84517823,376376
26.32553228,376377
22.84508026,376378
27.50240995,376379
26.60786438,376380
28.47490487,376381
23.46996466,376382
29.5309741,376383
27.23721499,376384
28.64291508,376385
21.30904423,376386
25.95899831,376387
28.87199985,376388
29.6560992,376389
22.37774691,376390
26.75254491,376391
26.96940634,376392
23.45551996,376393
28.63236937,376394
25.6981793,376395
21.00972629,376396
26.93217997,376397
24.5662703,376398
21.13148044,376399
26.50960423,376400
23.96339939,376401
25.72328622,376402
20.30303889,376403
20.53240097,376404
21.42097263,376405
27.22101264,376406
26.29280822,376407
25.40046225,376408
28.48115999,376409
24.87029032,376410
20.65248471,376411
26.33161835,376412
28.68833546,376413
29.72279923,376414
23.91948848,376415
25.87992895,376416
25.96693957,376417
24.6581202,376418
21.11011696,376419
29.00411534,376420
25.97188065,376421
